Wall time,Step,Value
1733954473.700643,0,0.7047053575515747
1733954475.3750951,1,0.31255340576171875
1733954476.9276478,2,0.05097677558660507
1733954478.4817772,3,0.4334300458431244
1733954480.0323198,4,0.4081558287143707
1733954481.588965,5,0.11282603442668915
1733954483.1367035,6,0.019128311425447464
1733954484.687455,7,0.16402065753936768
1733954486.2476177,8,0.1705016791820526
1733954487.800866,9,0.007817277684807777
1733954489.3613167,10,0.6939067840576172
1733954490.9121234,11,0.00232238182798028
1733954492.4744532,12,0.22802168130874634
1733954494.033392,13,0.6218922734260559
1733954495.5931547,14,0.13196802139282227
1733954497.145904,15,0.05324474722146988
1733954498.7113864,16,0.4524857997894287
1733954500.2763906,17,0.21952229738235474
1733954501.845741,18,0.029424209147691727
1733954503.4136667,19,0.006226393859833479
1733954504.982442,20,0.0275720302015543
1733954506.546956,21,0.014813577756285667
1733954508.1162834,22,0.36717724800109863
1733954509.675229,23,0.21512745320796967
1733954511.2387547,24,0.5272709727287292
1733954512.811636,25,0.28057366609573364
1733954514.3803797,26,0.47766217589378357
1733954515.9579604,27,0.2548339366912842
1733954517.5248742,28,0.22586645185947418
1733954519.1010664,29,0.004333591088652611
1733954520.6752608,30,0.31375837326049805
1733954522.2529175,31,0.0032472279854118824
1733954523.8346431,32,0.007087447680532932
1733954525.415017,33,0.4871900975704193
1733954526.9883256,34,0.46394163370132446
1733954528.5675461,35,0.3583831489086151
1733954530.1559055,36,0.050585582852363586
1733954531.7388604,37,0.005927882622927427
1733954533.3139467,38,0.12271352112293243
1733954534.9019072,39,0.01470487006008625
1733954536.4971848,40,0.014794223010540009
1733954538.0939152,41,0.12866142392158508
1733954539.687962,42,0.08337883651256561
1733954541.2842567,43,0.01958174630999565
1733954542.879311,44,0.3845578134059906
1733954544.4689462,45,0.14853525161743164
1733954546.058755,46,0.3425648808479309
1733954547.662004,47,0.05271884799003601
1733954549.2597191,48,0.20148715376853943
1733954550.8583064,49,0.3272995352745056
1733954552.4489272,50,0.20676487684249878
1733954554.0510426,51,0.5217381715774536
1733954555.6423645,52,0.47039347887039185
1733954557.235231,53,0.2943815290927887
1733954558.8329937,54,0.20454174280166626
1733954560.4357288,55,0.16501522064208984
1733954562.0317142,56,0.028473548591136932
1733954563.6335804,57,0.07400196045637131
1733954565.231404,58,0.045867398381233215
1733954566.8347664,59,0.4853411614894867
1733954568.435667,60,0.1589674949645996
1733954570.0476618,61,0.1649807244539261
1733954571.6490161,62,0.031669098883867264
1733954573.249771,63,0.38557004928588867
1733954574.8488355,64,0.1744534969329834
1733954576.465465,65,0.06962879002094269
1733954578.0764828,66,0.49586862325668335
1733954579.6865911,67,0.013108384795486927
1733954581.2941604,68,0.1967909336090088
1733954582.9070659,69,0.1282045841217041
1733954584.5124352,70,0.14855605363845825
1733954586.124827,71,0.007719941902905703
1733954587.7453334,72,0.020878832787275314
1733954589.3664799,73,0.3827725648880005
1733954590.9817271,74,0.05073169246315956
1733954592.6027381,75,0.005420480854809284
1733954594.2194896,76,0.23426321148872375
1733954595.8448293,77,0.18134567141532898
1733954597.4637296,78,0.34304118156433105
1733954599.081177,79,0.007266423664987087
1733954600.6939886,80,0.004597460851073265
1733954602.3057616,81,0.3318566083908081
1733954603.91959,82,0.01310995314270258
1733954605.54104,83,0.060111626982688904
1733954607.156593,84,0.4589710831642151
